text	sentiment
"$WMT down more than 7% premarket, and nearly 15% over the past month.
Now almost on par with the drop of $COST during a similar period.
If I'm choosing one of these to play, it is $COST.
On watch."	1
Walmart $WMT down 9% - but it 100% representative of the state of the economy for 80% of the population. The top 1% have no clue how bad things are getting for most households. Note: WMT sales ex-real inflation were down big	0
BlackRock is smart enough to invest/venture into $USDC Circle with $400M $BLK. They know how to pick the winner, and hedge the loser $UST.	1
"why buy most other ETFs when we only need to buy $BRK.B?
#Berkshire #ETF #valueinvesting"	1
"/ 
@elonmusk
 has demonstrated that you can be smart , rich , famous and Stupid As Hell . This Aaa Hat has driven down stock price of 
@Twitter
 and 
@Tesla
 buy Weaponizing 
@Twitter
 as means to drive deal . Think about how he will F with the stock market daily 
@MSNBC
 
@CNN
 JustSayNO!"	0
I'm an investor in $LOW, but I have no problem saying $HD's long term outlook is as strong as its ever been IMO...	1
"Earnings for Wed, May 18 (BEFORE THE )

$TGT Target Corp. ⏰ 6:30 AM ET
 - EPS: $3.02 | Rev: $24.42 B

$ZIM ZIM Integrated Shipping Services Ltd. ⏰ 7:00 AM ET
 - EPS: $12.65 | Rev: $0.00 M

$LOW Lowe's Companies, Inc. ⏰ 6:00 AM ET
 - EPS: $3.24 | Rev: $23.78 B"	1
Dorsey's choice of who would succeed him as CEO of $TWTR just seems like another chapter in his mismanagement of the business.	0
The case for Piedmont Lithium $PLL and why $GM will go bankrupt again https://simonschase.co/piedmont-lithium/	0
"“ Warren Buffet “ : worlds greatest & best  investor wants to buy more #Apple stock at current rates 

“ Micheal Burry “ : world’s 1 of the best trader is shorting #Apple at current market price

I think later one is going to go wrong here as shorting $AAPL after -20% is insane !"	1
"What the charlatan really says:  Mission Accomplished.

""I have no longer use for $TWTR. I successfully  liquidated tons of ridiculously overvalued 
@Tesla
 shares without it blowing up in the process.""

How anyone still can not see that 
@elonmusk
 is so full of shit is beyond me."	0
$JMIA growth acceleration. Orders increased by 40% YOY. GMV increased by 27% YOY. Revenue increased by 44% year-over-year	1
"Looking back at all of Twitter's 10-Q and 10-K filings since 2015, the number of fake accounts has *systematically* been estimated at “less than 5%” of active users. $TWTR

Well, ain't this a fortuitous statistical oddity! 
@elonmusk"	0
$FB Instagram CPMs (cost per thousand impressions) continue to improve. In May 2022, they equaled $10.92 CPM, which is higher than last year's $9.82 and the year prior $7.16. 1/4	1
"After falling over 50% in a year, it looks like people are buying the $BABA dip.

The stock is up +12% this morning.

Here's the weekly chart...

Are you in or out?"	1
"Here’s some of my favorite Dividend Kings 

$PG Procter & Gamble
$KO Coca-Cola
$MMM 3M 
$JNJ Johnson & Johnson 
$TGT Target
$ABBV AbbVie
$LOW Lowe’s
$PEP PepsiCo
$MO Altria Group
$ABT Abbott Labs

Are you holding any of these?"	1
Still can’t believe $ABNB released a “categories” tab and called it their biggest change in a decade	0
"Sunworks, Inc's quarterly revenue growth rate YoY of 269.20% ranked 164 out of 5731 companies in our database. 

https://stockideashq.com/stocks/sunw?source=twitter-bot $SUNW"	1
"Replying to 
@MrBuyside
Happy to see $SE beat on revs. 

Only Meli and SE still have revenue growth above their June 2020 quarter."	1
$BWV $AUVI $DTC - LI, ARVL and SUNW among pre market gainers	1
"I'm kind of excited to add $TGT to my Buy list - Before, they've always been right on the money, as in, not worth buying because they're priced exactly as they ought to be. Now, like their brick-and-mortar store items, 
@Target
 stock is a bargain!"	1
"$auvi Bearish Now 

$veru Bullish 

$qqq Bullish"	0
$AMZN -40% in 30 trading days.	0
Still no reaction from tech stocks with yields dropping like a stone. These are the companies most resilient with earnings... $MSFT $AAPL $NVDA $TSLA $GOOG	1
"Update 
cutting $AUVI not feeling confident in it

#daytrader #investor #trading
"	0
Sea Limited traded 75% above average volume, $SE up 13.74%	1
$AUVI I want to see $1.40 as our new support and build brick by brick from there.	1
"As Tesla $TSLA trades in record territory again, here are my future price targets for the stock.  Still holding all of my shares at $124.

$1,300 - by 2023
$1,500-$1,600 by the time my tri-motor Cybertruck is delivered
$3,000 - by 2026
$5,000 - by 2031"	1
$LUV Best long-term play in US Airline industry. LUV will be profitable the remaining three quarters this year. They have a multi-year fuel hedging program to provide insurance against spikes in jet fuel prices with significant fuel hedging protection in 2022 #oil #natgas	1
"*AMAZON SHARES SINK TO LOWEST LEVEL SINCE APRIL 2020 

$AMZN"	0
Who else received their $ABBV dividend payment today. 	1
"$AAPL is consumer discretionary for a reason.. 

For $AAPL stock to go up you need a) consumer b) discretionary spend 

Both are AWOL LOL"	0
"Top Watch  

$IDRA
$AUVI 
$PPSI 
$ONON 
$SE 
$BRDS 
$MITQ 
$JMIA 
$DTC 
$SUNW"	1
Some reassuring comments from $BABA CEO ahead of earnings.... https://scmp.com/tech/big-tech/article/3177335/alibaba-ceo-reassures-employees-amid-economic-and-regulatory	1
